date,country,simd_quintile,daily_positive,cumulative_positive,daily_deaths,daily_deaths_qf,cumulative_deaths,cumulative_deaths_qf,crude_rate_deaths,crude_rate_deaths_qf,first_infections,first_infections_cumulative,reinfections,reinfections_cumulative,percent_reinfections,percent_reinfections_cumulative,year,month,day,week,weekday,season
2020-02-28,S92000003,4,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0,2020,2,28,9,Fri,winter
2020-02-29,S92000003,4,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0,2020,2,29,9,Sat,winter
2020-03-01,S92000003,3,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0,2020,3,1,9,Sun,spring
2020-03-01,S92000003,4,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0,2020,3,1,9,Sun,spring
2020-03-01,S92000003,5,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0,2020,3,1,9,Sun,spring
2020-03-02,S92000003,3,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0,2020,3,2,9,Mon,spring
2020-03-02,S92000003,4,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0,2020,3,2,9,Mon,spring
2020-03-02,S92000003,5,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0,2020,3,2,9,Mon,spring
2020-03-03,S92000003,3,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0,2020,3,3,9,Tue,spring
2020-03-03,S92000003,4,2,4,0,NA,0,NA,0,NA,2,4,0,0,0,0,2020,3,3,9,Tue,spring
2020-03-03,S92000003,5,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0,2020,3,3,9,Tue,spring
2020-03-04,S92000003,2,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0,2020,3,4,10,Wed,spring
2020-03-04,S92000003,3,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0,2020,3,4,10,Wed,spring
2020-03-04,S92000003,4,1,5,0,NA,0,NA,0,NA,1,5,0,0,0,0,2020,3,4,10,Wed,spring
2020-03-04,S92000003,5,3,5,0,NA,0,NA,0,NA,3,5,0,0,0,0,2020,3,4,10,Wed,spring
2020-03-05,S92000003,1,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0,2020,3,5,10,Thu,spring
2020-03-05,S92000003,2,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0,2020,3,5,10,Thu,spring
2020-03-05,S92000003,3,0,2,0,NA,0,NA,0,NA,0,2,0,0,NA,0,2020,3,5,10,Thu,spring
2020-03-05,S92000003,4,1,6,0,NA,0,NA,0,NA,1,6,0,0,0,0,2020,3,5,10,Thu,spring
2020-03-05,S92000003,5,0,5,0,NA,0,NA,0,NA,0,5,0,0,NA,0,2020,3,5,10,Thu,spring
2020-03-06,S92000003,1,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0,2020,3,6,10,Fri,spring
2020-03-06,S92000003,2,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0,2020,3,6,10,Fri,spring
2020-03-06,S92000003,3,0,2,0,NA,0,NA,0,NA,0,2,0,0,NA,0,2020,3,6,10,Fri,spring
2020-03-06,S92000003,4,4,10,0,NA,0,NA,0,NA,4,10,0,0,0,0,2020,3,6,10,Fri,spring
2020-03-06,S92000003,5,1,6,0,NA,0,NA,0,NA,1,6,0,0,0,0,2020,3,6,10,Fri,spring
2020-03-07,S92000003,1,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0,2020,3,7,10,Sat,spring
2020-03-07,S92000003,2,0,2,0,NA,0,NA,0,NA,0,2,0,0,NA,0,2020,3,7,10,Sat,spring
2020-03-07,S92000003,3,1,3,0,NA,0,NA,0,NA,1,3,0,0,0,0,2020,3,7,10,Sat,spring
2020-03-07,S92000003,4,3,13,0,NA,0,NA,0,NA,3,13,0,0,0,0,2020,3,7,10,Sat,spring
2020-03-07,S92000003,5,2,8,0,NA,0,NA,0,NA,2,8,0,0,0,0,2020,3,7,10,Sat,spring
2020-03-08,S92000003,1,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0,2020,3,8,10,Sun,spring
2020-03-08,S92000003,2,0,2,0,NA,0,NA,0,NA,0,2,0,0,NA,0,2020,3,8,10,Sun,spring
2020-03-08,S92000003,3,0,3,0,NA,0,NA,0,NA,0,3,0,0,NA,0,2020,3,8,10,Sun,spring
2020-03-08,S92000003,4,1,14,0,NA,0,NA,0,NA,1,14,0,0,0,0,2020,3,8,10,Sun,spring
2020-03-08,S92000003,5,2,10,0,NA,0,NA,0,NA,2,10,0,0,0,0,2020,3,8,10,Sun,spring
2020-03-09,S92000003,1,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0,2020,3,9,10,Mon,spring
2020-03-09,S92000003,2,1,3,0,NA,0,NA,0,NA,1,3,0,0,0,0,2020,3,9,10,Mon,spring
2020-03-09,S92000003,3,2,5,0,NA,0,NA,0,NA,2,5,0,0,0,0,2020,3,9,10,Mon,spring
2020-03-09,S92000003,4,7,21,0,NA,0,NA,0,NA,7,21,0,0,0,0,2020,3,9,10,Mon,spring
2020-03-09,S92000003,5,4,14,0,NA,0,NA,0,NA,4,14,0,0,0,0,2020,3,9,10,Mon,spring
2020-03-10,S92000003,1,0,2,0,NA,0,NA,0,NA,0,2,0,0,NA,0,2020,3,10,10,Tue,spring
2020-03-10,S92000003,2,4,7,0,NA,0,NA,0,NA,4,7,0,0,0,0,2020,3,10,10,Tue,spring
2020-03-10,S92000003,3,2,7,0,NA,0,NA,0,NA,2,7,0,0,0,0,2020,3,10,10,Tue,spring
2020-03-10,S92000003,4,9,30,0,NA,0,NA,0,NA,9,30,0,0,0,0,2020,3,10,10,Tue,spring
2020-03-10,S92000003,5,6,20,0,NA,0,NA,0,NA,6,20,0,0,0,0,2020,3,10,10,Tue,spring
2020-03-11,S92000003,1,2,4,0,NA,0,NA,0,NA,2,4,0,0,0,0,2020,3,11,11,Wed,spring
2020-03-11,S92000003,2,1,8,0,NA,0,NA,0,NA,1,8,0,0,0,0,2020,3,11,11,Wed,spring
2020-03-11,S92000003,3,5,12,0,NA,0,NA,0,NA,5,12,0,0,0,0,2020,3,11,11,Wed,spring
2020-03-11,S92000003,4,7,37,0,NA,0,NA,0,NA,7,37,0,0,0,0,2020,3,11,11,Wed,spring
2020-03-11,S92000003,5,10,30,0,NA,0,NA,0,NA,10,30,0,0,0,0,2020,3,11,11,Wed,spring
2020-03-12,S92000003,1,7,11,0,NA,0,NA,0,NA,7,11,0,0,0,0,2020,3,12,11,Thu,spring
2020-03-12,S92000003,2,2,10,0,NA,0,NA,0,NA,2,10,0,0,0,0,2020,3,12,11,Thu,spring
2020-03-12,S92000003,3,8,20,0,NA,0,NA,0,NA,8,20,0,0,0,0,2020,3,12,11,Thu,spring
2020-03-12,S92000003,4,5,42,0,NA,0,NA,0,NA,5,42,0,0,0,0,2020,3,12,11,Thu,spring
2020-03-12,S92000003,5,16,46,0,NA,0,NA,0,NA,16,46,0,0,0,0,2020,3,12,11,Thu,spring
2020-03-13,S92000003,1,6,17,0,NA,0,NA,0,NA,6,17,0,0,0,0,2020,3,13,11,Fri,spring
2020-03-13,S92000003,2,6,16,0,NA,0,NA,0,NA,6,16,0,0,0,0,2020,3,13,11,Fri,spring
2020-03-13,S92000003,3,7,27,0,NA,0,NA,0,NA,7,27,0,0,0,0,2020,3,13,11,Fri,spring
2020-03-13,S92000003,4,15,57,0,NA,0,NA,0,NA,15,57,0,0,0,0,2020,3,13,11,Fri,spring
2020-03-13,S92000003,5,13,59,0,NA,0,NA,0,NA,13,59,0,0,0,0,2020,3,13,11,Fri,spring
2020-03-14,S92000003,1,5,22,1,NA,1,NA,0.0923593851451012,NA,5,22,0,0,0,0,2020,3,14,11,Sat,spring
2020-03-14,S92000003,2,5,21,0,NA,0,NA,0,NA,5,21,0,0,0,0,2020,3,14,11,Sat,spring
2020-03-14,S92000003,3,1,28,0,NA,0,NA,0,NA,1,28,0,0,0,0,2020,3,14,11,Sat,spring
2020-03-14,S92000003,4,6,63,1,NA,1,NA,0.08972142395077523,NA,6,63,0,0,0,0,2020,3,14,11,Sat,spring
2020-03-14,S92000003,5,2,61,0,NA,0,NA,0,NA,2,61,0,0,0,0,2020,3,14,11,Sat,spring
2020-03-15,S92000003,1,2,24,0,NA,1,NA,0.0923593851451012,NA,2,24,0,0,0,0,2020,3,15,11,Sun,spring
2020-03-15,S92000003,2,2,23,0,NA,0,NA,0,NA,2,23,0,0,0,0,2020,3,15,11,Sun,spring
2020-03-15,S92000003,3,3,31,0,NA,0,NA,0,NA,3,31,0,0,0,0,2020,3,15,11,Sun,spring
2020-03-15,S92000003,4,0,63,0,NA,1,NA,0.08972142395077523,NA,0,63,0,0,NA,0,2020,3,15,11,Sun,spring
2020-03-15,S92000003,5,5,66,0,NA,0,NA,0,NA,5,66,0,0,0,0,2020,3,15,11,Sun,spring
2020-03-16,S92000003,1,5,29,0,NA,1,NA,0.0923593851451012,NA,5,29,0,0,0,0,2020,3,16,11,Mon,spring
2020-03-16,S92000003,2,4,27,0,NA,0,NA,0,NA,4,27,0,0,0,0,2020,3,16,11,Mon,spring
2020-03-16,S92000003,3,5,36,1,NA,1,NA,0.09160185072379202,NA,5,36,0,0,0,0,2020,3,16,11,Mon,spring
2020-03-16,S92000003,4,2,65,0,NA,1,NA,0.08972142395077523,NA,2,65,0,0,0,0,2020,3,16,11,Mon,spring
2020-03-16,S92000003,5,5,71,0,NA,0,NA,0,NA,5,71,0,0,0,0,2020,3,16,11,Mon,spring
2020-03-17,S92000003,1,9,38,0,NA,1,NA,0.0923593851451012,NA,9,38,0,0,0,0,2020,3,17,11,Tue,spring
2020-03-17,S92000003,2,10,37,1,NA,1,NA,0.09226998937049724,NA,10,37,0,0,0,0,2020,3,17,11,Tue,spring
2020-03-17,S92000003,3,5,41,0,NA,1,NA,0.09160185072379202,NA,5,41,0,0,0,0,2020,3,17,11,Tue,spring
2020-03-17,S92000003,4,6,71,0,NA,1,NA,0.08972142395077523,NA,6,71,0,0,0,0,2020,3,17,11,Tue,spring
2020-03-17,S92000003,5,13,84,1,NA,1,NA,0.09146996812271611,NA,13,84,0,0,0,0,2020,3,17,11,Tue,spring
2020-03-18,S92000003,1,11,49,0,NA,1,NA,0.0923593851451012,NA,11,49,0,0,0,0,2020,3,18,12,Wed,spring
2020-03-18,S92000003,2,7,44,0,NA,1,NA,0.09226998937049724,NA,7,44,0,0,0,0,2020,3,18,12,Wed,spring
2020-03-18,S92000003,3,4,45,0,NA,1,NA,0.09160185072379202,NA,4,45,0,0,0,0,2020,3,18,12,Wed,spring
2020-03-18,S92000003,4,9,80,0,NA,1,NA,0.08972142395077523,NA,9,80,0,0,0,0,2020,3,18,12,Wed,spring
2020-03-18,S92000003,5,10,94,0,NA,1,NA,0.09146996812271611,NA,10,94,0,0,0,0,2020,3,18,12,Wed,spring
2020-03-19,S92000003,1,11,60,1,NA,2,NA,0.1847187702902024,NA,11,60,0,0,0,0,2020,3,19,12,Thu,spring
2020-03-19,S92000003,2,10,54,1,NA,2,NA,0.18453997874099445,NA,10,54,0,0,0,0,2020,3,19,12,Thu,spring
2020-03-19,S92000003,3,9,54,0,NA,1,NA,0.09160185072379202,NA,9,54,0,0,0,0,2020,3,19,12,Thu,spring
2020-03-19,S92000003,4,9,89,0,NA,1,NA,0.08972142395077523,NA,9,89,0,0,0,0,2020,3,19,12,Thu,spring
2020-03-19,S92000003,5,9,103,1,NA,2,NA,0.18293993624543223,NA,9,103,0,0,0,0,2020,3,19,12,Thu,spring
2020-03-20,S92000003,1,10,70,3,NA,5,NA,0.46179692572550607,NA,10,70,0,0,0,0,2020,3,20,12,Fri,spring
2020-03-20,S92000003,2,12,66,1,NA,3,NA,0.27680996811149167,NA,12,66,0,0,0,0,2020,3,20,12,Fri,spring
2020-03-20,S92000003,3,23,77,0,NA,1,NA,0.09160185072379202,NA,23,77,0,0,0,0,2020,3,20,12,Fri,spring
2020-03-20,S92000003,4,20,109,1,NA,2,NA,0.17944284790155046,NA,20,109,0,0,0,0,2020,3,20,12,Fri,spring
2020-03-20,S92000003,5,17,120,0,NA,2,NA,0.18293993624543223,NA,17,120,0,0,0,0,2020,3,20,12,Fri,spring
2020-03-21,S92000003,1,6,76,2,NA,7,NA,0.6465156960157085,NA,6,76,0,0,0,0,2020,3,21,12,Sat,spring
2020-03-21,S92000003,2,14,80,1,NA,4,NA,0.3690799574819889,NA,14,80,0,0,0,0,2020,3,21,12,Sat,spring
2020-03-21,S92000003,3,15,92,1,NA,2,NA,0.18320370144758405,NA,15,92,0,0,0,0,2020,3,21,12,Sat,spring
2020-03-21,S92000003,4,11,120,1,NA,3,NA,0.2691642718523257,NA,11,120,0,0,0,0,2020,3,21,12,Sat,spring
2020-03-21,S92000003,5,20,140,1,NA,3,NA,0.2744099043681483,NA,20,140,0,0,0,0,2020,3,21,12,Sat,spring
2020-03-22,S92000003,1,11,87,0,NA,7,NA,0.6465156960157085,NA,11,87,0,0,0,0,2020,3,22,12,Sun,spring
2020-03-22,S92000003,2,14,94,2,NA,6,NA,0.5536199362229833,NA,14,94,0,0,0,0,2020,3,22,12,Sun,spring
2020-03-22,S92000003,3,15,107,0,NA,2,NA,0.18320370144758405,NA,15,107,0,0,0,0,2020,3,22,12,Sun,spring
2020-03-22,S92000003,4,14,134,1,NA,4,NA,0.3588856958031009,NA,14,134,0,0,0,0,2020,3,22,12,Sun,spring
2020-03-22,S92000003,5,18,158,2,NA,5,NA,0.4573498406135805,NA,18,158,0,0,0,0,2020,3,22,12,Sun,spring
2020-03-23,S92000003,1,26,113,1,NA,8,NA,0.7388750811608097,NA,26,113,0,0,0,0,2020,3,23,12,Mon,spring
2020-03-23,S92000003,2,32,126,1,NA,7,NA,0.6458899255934806,NA,32,126,0,0,0,0,2020,3,23,12,Mon,spring
2020-03-23,S92000003,3,30,137,1,NA,3,NA,0.2748055521713761,NA,30,137,0,0,0,0,2020,3,23,12,Mon,spring
2020-03-23,S92000003,4,16,150,0,NA,4,NA,0.3588856958031009,NA,16,150,0,0,0,0,2020,3,23,12,Mon,spring
2020-03-23,S92000003,5,31,189,1,NA,6,NA,0.5488198087362967,NA,31,189,0,0,0,0,2020,3,23,12,Mon,spring
2020-03-24,S92000003,1,33,146,1,NA,9,NA,0.8312344663059109,NA,33,146,0,0,0,0,2020,3,24,12,Tue,spring
2020-03-24,S92000003,2,35,161,3,NA,10,NA,0.9226998937049724,NA,35,161,0,0,0,0,2020,3,24,12,Tue,spring
2020-03-24,S92000003,3,25,162,1,NA,4,NA,0.3664074028951681,NA,25,162,0,0,0,0,2020,3,24,12,Tue,spring
2020-03-24,S92000003,4,30,180,1,NA,5,NA,0.4486071197538762,NA,30,180,0,0,0,0,2020,3,24,12,Tue,spring
2020-03-24,S92000003,5,41,230,1,NA,7,NA,0.6402897768590128,NA,41,230,0,0,0,0,2020,3,24,12,Tue,spring
2020-03-25,S92000003,1,42,188,1,NA,10,NA,0.923593851451012,NA,42,188,0,0,0,0,2020,3,25,13,Wed,spring
2020-03-25,S92000003,2,32,193,1,NA,11,NA,1.0149698830754694,NA,32,193,0,0,0,0,2020,3,25,13,Wed,spring
2020-03-25,S92000003,3,33,195,4,NA,8,NA,0.7328148057903362,NA,33,195,0,0,0,0,2020,3,25,13,Wed,spring
2020-03-25,S92000003,4,40,220,1,NA,6,NA,0.5383285437046514,NA,40,220,0,0,0,0,2020,3,25,13,Wed,spring
2020-03-25,S92000003,5,34,264,4,NA,11,NA,1.0061696493498773,NA,34,264,0,0,0,0,2020,3,25,13,Wed,spring
2020-03-26,S92000003,1,53,241,1,NA,11,NA,1.0159532365961133,NA,53,241,0,0,0,0,2020,3,26,13,Thu,spring
2020-03-26,S92000003,2,38,231,4,NA,15,NA,1.3840498405574584,NA,38,231,0,0,0,0,2020,3,26,13,Thu,spring
2020-03-26,S92000003,3,33,228,1,NA,9,NA,0.8244166565141282,NA,33,228,0,0,0,0,2020,3,26,13,Thu,spring
2020-03-26,S92000003,4,46,266,4,NA,10,NA,0.8972142395077524,NA,46,266,0,0,0,0,2020,3,26,13,Thu,spring
2020-03-26,S92000003,5,47,311,2,NA,13,NA,1.189109585595309,NA,47,311,0,0,0,0,2020,3,26,13,Thu,spring
2020-03-27,S92000003,1,61,302,1,NA,12,NA,1.1083126217412147,NA,61,302,0,0,0,0,2020,3,27,13,Fri,spring
2020-03-27,S92000003,2,51,282,6,NA,21,NA,1.9376697767804416,NA,51,282,0,0,0,0,2020,3,27,13,Fri,spring
2020-03-27,S92000003,3,44,272,2,NA,11,NA,1.0076203579617122,NA,44,272,0,0,0,0,2020,3,27,13,Fri,spring
2020-03-27,S92000003,4,52,318,1,NA,11,NA,0.9869356634585276,NA,52,318,0,0,0,0,2020,3,27,13,Fri,spring
2020-03-27,S92000003,5,65,376,1,NA,14,NA,1.2805795537180256,NA,65,376,0,0,0,0,2020,3,27,13,Fri,spring
2020-03-28,S92000003,1,42,344,9,NA,21,NA,1.9395470880471255,NA,42,344,0,0,0,0,2020,3,28,13,Sat,spring
2020-03-28,S92000003,2,41,323,7,NA,28,NA,2.5835597023739223,NA,41,323,0,0,0,0,2020,3,28,13,Sat,spring
2020-03-28,S92000003,3,37,309,8,NA,19,NA,1.7404351637520483,NA,37,309,0,0,0,0,2020,3,28,13,Sat,spring
2020-03-28,S92000003,4,36,354,2,NA,13,NA,1.1663785113600782,NA,36,354,0,0,0,0,2020,3,28,13,Sat,spring
2020-03-28,S92000003,5,47,423,3,NA,17,NA,1.5549894580861738,NA,47,423,0,0,0,0,2020,3,28,13,Sat,spring
2020-03-29,S92000003,1,50,394,6,NA,27,NA,2.4937033989177326,NA,50,394,0,0,0,0,2020,3,29,13,Sun,spring
2020-03-29,S92000003,2,48,371,3,NA,31,NA,2.860369670485414,NA,48,371,0,0,0,0,2020,3,29,13,Sun,spring
2020-03-29,S92000003,3,38,347,3,NA,22,NA,2.0152407159234245,NA,38,347,0,0,0,0,2020,3,29,13,Sun,spring
2020-03-29,S92000003,4,24,378,2,NA,15,NA,1.3458213592616286,NA,24,378,0,0,0,0,2020,3,29,13,Sun,spring
2020-03-29,S92000003,5,34,457,6,NA,23,NA,2.1038092668224704,NA,34,457,0,0,0,0,2020,3,29,13,Sun,spring
2020-03-30,S92000003,1,67,461,7,NA,34,NA,3.140219094933441,NA,67,461,0,0,0,0,2020,3,30,13,Mon,spring
2020-03-30,S92000003,2,73,444,5,NA,36,NA,3.3217196173379002,NA,73,444,0,0,0,0,2020,3,30,13,Mon,spring
2020-03-30,S92000003,3,46,393,11,NA,33,NA,3.022861073885137,NA,46,393,0,0,0,0,2020,3,30,13,Mon,spring
2020-03-30,S92000003,4,64,442,2,NA,17,NA,1.525264207163179,NA,64,442,0,0,0,0,2020,3,30,13,Mon,spring
2020-03-30,S92000003,5,63,520,5,NA,28,NA,2.561159107436051,NA,63,520,0,0,0,0,2020,3,30,13,Mon,spring
2020-03-31,S92000003,1,84,545,12,NA,46,NA,4.2485317166746555,NA,84,545,0,0,0,0,2020,3,31,13,Tue,spring
2020-03-31,S92000003,2,79,523,8,NA,44,NA,4.059879532301878,NA,79,523,0,0,0,0,2020,3,31,13,Tue,spring
2020-03-31,S92000003,3,42,435,11,NA,44,NA,4.030481431846849,NA,42,435,0,0,0,0,2020,3,31,13,Tue,spring
2020-03-31,S92000003,4,63,505,3,NA,20,NA,1.7944284790155047,NA,63,505,0,0,0,0,2020,3,31,13,Tue,spring
2020-03-31,S92000003,5,69,589,4,NA,32,NA,2.9270389799269156,NA,69,589,0,0,0,0,2020,3,31,13,Tue,spring
2020-04-01,S92000003,1,76,621,13,NA,59,NA,5.449203723560972,NA,76,621,0,0,0,0,2020,4,1,14,Wed,spring
2020-04-01,S92000003,2,83,606,10,NA,54,NA,4.98257942600685,NA,83,606,0,0,0,0,2020,4,1,14,Wed,spring
2020-04-01,S92000003,3,73,508,7,NA,51,NA,4.671694386913393,NA,73,508,0,0,0,0,2020,4,1,14,Wed,spring
2020-04-01,S92000003,4,67,572,10,NA,30,NA,2.691642718523257,NA,67,572,0,0,0,0,2020,4,1,14,Wed,spring
2020-04-01,S92000003,5,88,677,6,NA,38,NA,3.4758587886632126,NA,88,677,0,0,0,0,2020,4,1,14,Wed,spring
2020-04-02,S92000003,1,67,688,8,NA,67,NA,6.188078804721781,NA,67,688,0,0,0,0,2020,4,2,14,Thu,spring
2020-04-02,S92000003,2,89,695,9,NA,63,NA,5.813009330341325,NA,89,695,0,0,0,0,2020,4,2,14,Thu,spring
2020-04-02,S92000003,3,78,586,8,NA,59,NA,5.404509192703729,NA,78,586,0,0,0,0,2020,4,2,14,Thu,spring
2020-04-02,S92000003,4,70,642,8,NA,38,NA,3.4094141101294593,NA,70,642,0,0,0,0,2020,4,2,14,Thu,spring
2020-04-02,S92000003,5,45,722,3,NA,41,NA,3.750268693031361,NA,45,722,0,0,0,0,2020,4,2,14,Thu,spring
2020-04-03,S92000003,1,91,779,18,NA,85,NA,7.850547737333604,NA,91,779,0,0,0,0,2020,4,3,14,Fri,spring
2020-04-03,S92000003,2,92,787,11,NA,74,NA,6.827979213416794,NA,92,787,0,0,0,0,2020,4,3,14,Fri,spring
2020-04-03,S92000003,3,71,657,10,NA,69,NA,6.320527699941651,NA,71,657,0,0,0,0,2020,4,3,14,Fri,spring
2020-04-03,S92000003,4,71,713,11,NA,49,NA,4.396349773587986,NA,71,713,0,0,0,0,2020,4,3,14,Fri,spring
2020-04-03,S92000003,5,52,774,8,NA,49,NA,4.4820284380130895,NA,52,774,0,0,0,0,2020,4,3,14,Fri,spring
2020-04-04,S92000003,1,56,835,5,NA,90,NA,8.31234466305911,NA,56,835,0,0,0,0,2020,4,4,14,Sat,spring
2020-04-04,S92000003,2,65,852,9,NA,83,NA,7.65840911775127,NA,65,852,0,0,0,0,2020,4,4,14,Sat,spring
2020-04-04,S92000003,3,42,699,2,NA,71,NA,6.503731401389234,NA,42,699,0,0,0,0,2020,4,4,14,Sat,spring
2020-04-04,S92000003,4,46,759,4,NA,53,NA,4.755235469391088,NA,46,759,0,0,0,0,2020,4,4,14,Sat,spring
2020-04-04,S92000003,5,43,817,7,NA,56,NA,5.122318214872102,NA,43,817,0,0,0,0,2020,4,4,14,Sat,spring
2020-04-05,S92000003,1,61,896,13,NA,103,NA,9.513016669945426,NA,61,896,0,0,0,0,2020,4,5,14,Sun,spring
2020-04-05,S92000003,2,46,898,15,NA,98,NA,9.042458958308728,NA,46,898,0,0,0,0,2020,4,5,14,Sun,spring
2020-04-05,S92000003,3,58,757,5,NA,76,NA,6.961740655008194,NA,58,757,0,0,0,0,2020,4,5,14,Sun,spring
2020-04-05,S92000003,4,32,791,8,NA,61,NA,5.473006860997289,NA,32,791,0,0,0,0,2020,4,5,14,Sun,spring
2020-04-05,S92000003,5,28,845,6,NA,62,NA,5.671138023608399,NA,28,845,0,0,0,0,2020,4,5,14,Sun,spring
2020-04-06,S92000003,1,102,998,20,NA,123,NA,11.36020437284745,NA,102,998,0,0,0,0,2020,4,6,14,Mon,spring
2020-04-06,S92000003,2,88,986,14,NA,112,NA,10.33423880949569,NA,88,986,0,0,0,0,2020,4,6,14,Mon,spring
2020-04-06,S92000003,3,75,832,14,NA,90,NA,8.244166565141281,NA,75,832,0,0,0,0,2020,4,6,14,Mon,spring
2020-04-06,S92000003,4,57,848,8,NA,69,NA,6.190778252603491,NA,57,848,0,0,0,0,2020,4,6,14,Mon,spring
2020-04-06,S92000003,5,78,923,7,NA,69,NA,6.311427800467411,NA,78,923,0,0,0,0,2020,4,6,14,Mon,spring
2020-04-07,S92000003,1,95,1093,17,NA,140,NA,12.930313920314171,NA,95,1093,0,0,0,0,2020,4,7,14,Tue,spring
