date,number_admitted,seven_day_average,seven_day_average_qf,year,month,day,week,weekday,season
2020-03-01,1,NA,z,2020,3,1,9,Sun,Spring
2020-03-03,1,NA,z,2020,3,3,9,Tue,Spring
2020-03-04,1,NA,z,2020,3,4,10,Wed,Spring
2020-03-05,3,NA,z,2020,3,5,10,Thu,Spring
2020-03-06,4,NA,z,2020,3,6,10,Fri,Spring
2020-03-07,2,NA,z,2020,3,7,10,Sat,Spring
2020-03-08,1,1.85714285714286,NA,2020,3,8,10,Sun,Spring
2020-03-09,6,2.57142857142857,NA,2020,3,9,10,Mon,Spring
2020-03-10,9,3.71428571428571,NA,2020,3,10,10,Tue,Spring
2020-03-11,14,5.57142857142857,NA,2020,3,11,11,Wed,Spring
2020-03-12,7,6.14285714285714,NA,2020,3,12,11,Thu,Spring
2020-03-13,4,6.14285714285714,NA,2020,3,13,11,Fri,Spring
2020-03-14,9,7.14285714285714,NA,2020,3,14,11,Sat,Spring
2020-03-15,8,8.14285714285714,NA,2020,3,15,11,Sun,Spring
2020-03-16,10,8.71428571428571,NA,2020,3,16,11,Mon,Spring
2020-03-17,22,10.5714285714286,NA,2020,3,17,11,Tue,Spring
2020-03-18,18,11.1428571428571,NA,2020,3,18,12,Wed,Spring
2020-03-19,26,13.8571428571429,NA,2020,3,19,12,Thu,Spring
2020-03-20,47,20,NA,2020,3,20,12,Fri,Spring
2020-03-21,49,25.7142857142857,NA,2020,3,21,12,Sat,Spring
2020-03-22,37,29.8571428571429,NA,2020,3,22,12,Sun,Spring
2020-03-23,71,38.5714285714286,NA,2020,3,23,12,Mon,Spring
2020-03-24,72,45.7142857142857,NA,2020,3,24,12,Tue,Spring
2020-03-25,92,56.2857142857143,NA,2020,3,25,13,Wed,Spring
2020-03-26,108,68,NA,2020,3,26,13,Thu,Spring
2020-03-27,118,78.1428571428571,NA,2020,3,27,13,Fri,Spring
2020-03-28,140,91.1428571428571,NA,2020,3,28,13,Sat,Spring
2020-03-29,117,102.571428571429,NA,2020,3,29,13,Sun,Spring
2020-03-30,153,114.285714285714,NA,2020,3,30,13,Mon,Spring
2020-03-31,146,124.857142857143,NA,2020,3,31,13,Tue,Spring
2020-04-01,187,138.428571428571,NA,2020,4,1,14,Wed,Spring
2020-04-02,141,143.142857142857,NA,2020,4,2,14,Thu,Spring
2020-04-03,179,151.857142857143,NA,2020,4,3,14,Fri,Spring
2020-04-04,130,150.428571428571,NA,2020,4,4,14,Sat,Spring
2020-04-05,133,152.714285714286,NA,2020,4,5,14,Sun,Spring
2020-04-06,168,154.857142857143,NA,2020,4,6,14,Mon,Spring
2020-04-07,142,154.285714285714,NA,2020,4,7,14,Tue,Spring
2020-04-08,120,144.714285714286,NA,2020,4,8,15,Wed,Spring
2020-04-09,109,140.142857142857,NA,2020,4,9,15,Thu,Spring
2020-04-10,96,128.285714285714,NA,2020,4,10,15,Fri,Spring
2020-04-11,64,118.857142857143,NA,2020,4,11,15,Sat,Spring
2020-04-12,66,109.285714285714,NA,2020,4,12,15,Sun,Spring
2020-04-13,84,97.2857142857143,NA,2020,4,13,15,Mon,Spring
2020-04-14,83,88.8571428571429,NA,2020,4,14,15,Tue,Spring
2020-04-15,76,82.5714285714286,NA,2020,4,15,16,Wed,Spring
2020-04-16,77,78,NA,2020,4,16,16,Thu,Spring
2020-04-17,80,75.7142857142857,NA,2020,4,17,16,Fri,Spring
2020-04-18,60,75.1428571428571,NA,2020,4,18,16,Sat,Spring
2020-04-19,47,72.4285714285714,NA,2020,4,19,16,Sun,Spring
2020-04-20,55,68.2857142857143,NA,2020,4,20,16,Mon,Spring
2020-04-21,55,64.2857142857143,NA,2020,4,21,16,Tue,Spring
2020-04-22,50,60.5714285714286,NA,2020,4,22,17,Wed,Spring
2020-04-23,51,56.8571428571429,NA,2020,4,23,17,Thu,Spring
2020-04-24,68,55.1428571428571,NA,2020,4,24,17,Fri,Spring
2020-04-25,30,50.8571428571429,NA,2020,4,25,17,Sat,Spring
2020-04-26,30,48.4285714285714,NA,2020,4,26,17,Sun,Spring
2020-04-27,57,48.7142857142857,NA,2020,4,27,17,Mon,Spring
2020-04-28,51,48.1428571428571,NA,2020,4,28,17,Tue,Spring
2020-04-29,35,46,NA,2020,4,29,18,Wed,Spring
2020-04-30,35,43.7142857142857,NA,2020,4,30,18,Thu,Spring
2020-05-01,38,39.4285714285714,NA,2020,5,1,18,Fri,Spring
2020-05-02,34,40,NA,2020,5,2,18,Sat,Spring
2020-05-03,32,40.2857142857143,NA,2020,5,3,18,Sun,Spring
2020-05-04,39,37.7142857142857,NA,2020,5,4,18,Mon,Spring
2020-05-05,29,34.5714285714286,NA,2020,5,5,18,Tue,Spring
2020-05-06,36,34.7142857142857,NA,2020,5,6,19,Wed,Spring
2020-05-07,26,33.4285714285714,NA,2020,5,7,19,Thu,Spring
2020-05-08,25,31.5714285714286,NA,2020,5,8,19,Fri,Spring
2020-05-09,15,28.8571428571429,NA,2020,5,9,19,Sat,Spring
2020-05-10,24,27.7142857142857,NA,2020,5,10,19,Sun,Spring
2020-05-11,27,26,NA,2020,5,11,19,Mon,Spring
2020-05-12,27,25.7142857142857,NA,2020,5,12,19,Tue,Spring
2020-05-13,20,23.4285714285714,NA,2020,5,13,20,Wed,Spring
2020-05-14,20,22.5714285714286,NA,2020,5,14,20,Thu,Spring
2020-05-15,23,22.2857142857143,NA,2020,5,15,20,Fri,Spring
2020-05-16,14,22.1428571428571,NA,2020,5,16,20,Sat,Spring
2020-05-17,8,19.8571428571429,NA,2020,5,17,20,Sun,Spring
2020-05-18,22,19.1428571428571,NA,2020,5,18,20,Mon,Spring
2020-05-19,6,16.1428571428571,NA,2020,5,19,20,Tue,Spring
2020-05-20,12,15,NA,2020,5,20,21,Wed,Spring
2020-05-21,10,13.5714285714286,NA,2020,5,21,21,Thu,Spring
2020-05-22,13,12.1428571428571,NA,2020,5,22,21,Fri,Spring
2020-05-23,11,11.7142857142857,NA,2020,5,23,21,Sat,Spring
2020-05-24,6,11.4285714285714,NA,2020,5,24,21,Sun,Spring
2020-05-25,8,9.42857142857143,NA,2020,5,25,21,Mon,Spring
