ethnicity,number_admitted,number_admitted_qf,percent_admitted,percent_admitted_qf,date,year,month,day,week,weekday,season
african,NA,c,NA,c,2020-03-01,2020,3,1,9,Sun,spring
"asian,_asian_scottish_or_asian_british",13,NA,1,NA,2020-03-01,2020,3,1,9,Sun,spring
caribbean_or_black,NA,c,NA,c,2020-03-01,2020,3,1,9,Sun,spring
mixed_or_multiple_ethnic_groups,6,NA,0.46,NA,2020-03-01,2020,3,1,9,Sun,spring
other,NA,c,NA,c,2020-03-01,2020,3,1,9,Sun,spring
unknown,268,NA,20.68,NA,2020-03-01,2020,3,1,9,Sun,spring
white,1003,NA,77.39,NA,2020-03-01,2020,3,1,9,Sun,spring
african,6,NA,0.23,NA,2020-04-01,2020,4,1,14,Wed,spring
"asian,_asian_scottish_or_asian_british",56,NA,2.19,NA,2020-04-01,2020,4,1,14,Wed,spring
caribbean_or_black,6,NA,0.23,NA,2020-04-01,2020,4,1,14,Wed,spring
mixed_or_multiple_ethnic_groups,9,NA,0.35,NA,2020-04-01,2020,4,1,14,Wed,spring
other,10,NA,0.39,NA,2020-04-01,2020,4,1,14,Wed,spring
unknown,472,NA,18.44,NA,2020-04-01,2020,4,1,14,Wed,spring
white,2000,NA,78.16,NA,2020-04-01,2020,4,1,14,Wed,spring
african,NA,c,NA,c,2020-05-01,2020,5,1,18,Fri,spring
"asian,_asian_scottish_or_asian_british",10,NA,1.78,NA,2020-05-01,2020,5,1,18,Fri,spring
caribbean_or_black,NA,c,NA,c,2020-05-01,2020,5,1,18,Fri,spring
mixed_or_multiple_ethnic_groups,NA,c,NA,c,2020-05-01,2020,5,1,18,Fri,spring
other,NA,c,NA,c,2020-05-01,2020,5,1,18,Fri,spring
unknown,94,NA,16.7,NA,2020-05-01,2020,5,1,18,Fri,spring
white,451,NA,80.11,NA,2020-05-01,2020,5,1,18,Fri,spring
african,NA,c,NA,c,2020-06-01,2020,6,1,22,Mon,summer
"asian,_asian_scottish_or_asian_british",9,NA,11.54,NA,2020-06-01,2020,6,1,22,Mon,summer
caribbean_or_black,NA,c,NA,c,2020-06-01,2020,6,1,22,Mon,summer
mixed_or_multiple_ethnic_groups,NA,c,NA,c,2020-06-01,2020,6,1,22,Mon,summer
other,NA,c,NA,c,2020-06-01,2020,6,1,22,Mon,summer
unknown,12,NA,15.38,NA,2020-06-01,2020,6,1,22,Mon,summer
white,55,NA,70.51,NA,2020-06-01,2020,6,1,22,Mon,summer
african,NA,c,NA,c,2020-07-01,2020,7,1,27,Wed,summer
"asian,_asian_scottish_or_asian_british",NA,c,NA,c,2020-07-01,2020,7,1,27,Wed,summer
caribbean_or_black,NA,c,NA,c,2020-07-01,2020,7,1,27,Wed,summer
mixed_or_multiple_ethnic_groups,NA,c,NA,c,2020-07-01,2020,7,1,27,Wed,summer
other,NA,c,NA,c,2020-07-01,2020,7,1,27,Wed,summer
unknown,NA,c,NA,c,2020-07-01,2020,7,1,27,Wed,summer
white,13,NA,68.42,NA,2020-07-01,2020,7,1,27,Wed,summer
african,NA,c,NA,c,2020-08-01,2020,8,1,31,Sat,summer
"asian,_asian_scottish_or_asian_british",6,NA,12.77,NA,2020-08-01,2020,8,1,31,Sat,summer
caribbean_or_black,NA,c,NA,c,2020-08-01,2020,8,1,31,Sat,summer
mixed_or_multiple_ethnic_groups,NA,c,NA,c,2020-08-01,2020,8,1,31,Sat,summer
other,NA,c,NA,c,2020-08-01,2020,8,1,31,Sat,summer
unknown,NA,c,NA,c,2020-08-01,2020,8,1,31,Sat,summer
