id,location,location_name,postcode,address_line,hb,hscp,hscpqf,ca,caqf,int_zone,int_zone_qf,data_zone,data_zone_qf,based_on_postcode,hospital,road,area,lng,lat
1,a101h,arran_war_memorial_hospital,ka27_8lf,"lamlash,_isle_of_arran",S08000015,S37000020,NA,S12000021,NA,S02002097,NA,S01011176,NA,NA,NA,lamlash,isle_of_arran,203533,632121
2,a103h,ayrshire_central_hospital,ka12_8ss,"kilwinning_road,_irvine",S08000015,S37000020,NA,S12000021,NA,S02002105,NA,S01011213,NA,NA,NA,kilwinning_road,irvine,231514,641144
3,a105h,kirklandside_hospital,ka1_5lh,"kirklandside,_kilmarnock,_ayrshire",S08000015,S37000008,NA,S12000008,NA,S02001492,NA,S01007961,NA,NA,kirklandside,kilmarnock,ayrshire,244240.02,636263.4
4,a110h,lady_margaret_hospital,ka28_0hf,"college_st,_millport,_isle_of_cumbrae",S08000015,S37000020,NA,S12000021,NA,S02002128,NA,S01011328,NA,NA,college_st,millport,isle_of_cumbrae,216713,655863
5,a111h,university_hospital_crosshouse,ka2_0be,"kilmarnock_road,_kilmarnock,_ayrshire",S08000015,S37000008,NA,S12000008,NA,S02001504,NA,S01008027,NA,NA,kilmarnock_road,kilmarnock,ayrshire,240159.8,638520.4
6,a112h,brooksby_day_hospital,ka30_8ne,"18_greenock_road,_largs",S08000015,S37000020,NA,S12000021,NA,S02002129,NA,S01011329,NA,yes,NA,18_greenock_road,largs,220335,659862
7,a114h,warrix_avenue_mental_health_community_rehabilitation_unit,ka12_0dp,"warrix_avenue,_irvine",S08000015,S37000020,NA,S12000021,NA,S02002109,NA,S01011229,NA,yes,NA,warrix_avenue,irvine,232545,638575
8,a201h,ailsa_hospital,ka6_6ab,"dalmellington_road,_ayr",S08000015,S37000027,NA,S12000028,NA,S02002333,NA,S01012444,NA,NA,NA,dalmellington_road,ayr,236032,618646
9,a202e,maybole_day_hospital,ka19_7by,"6_high_street,_maybole",S08000015,S37000027,NA,S12000028,NA,S02002332,NA,S01012439,NA,yes,NA,6_high_street,maybole,230096,610018
10,a208h,biggart_hospital,ka9_2hq,"biggart_road,_prestwick",S08000015,S37000027,NA,S12000028,NA,S02002347,NA,S01012529,NA,NA,NA,biggart_road,prestwick,235532,625171
11,a210h,university_hospital_ayr,ka6_6dx,"dalmellington_road,_ayr",S08000015,S37000027,NA,S12000028,NA,S02002333,NA,S01012444,NA,NA,NA,dalmellington_road,ayr,235861,618224
12,a211h,arrol_park_resource_centre,ka7_4dw,"10_doonfoot_road,_ayr",S08000015,S37000027,NA,S12000028,NA,S02002335,NA,S01012451,NA,NA,NA,10_doonfoot_road,ayr,233146,620423
13,a214h,three_towns_resource_centre,ka21_5rf,"nelson_road,_saltcoats",S08000015,S37000020,NA,S12000021,NA,S02002111,NA,S01011237,NA,NA,NA,nelson_road,saltcoats,225677,641933
14,a215h,east_ayrshire_community_hospital,ka18_1ef,"ayr_road,_cumnock",S08000015,S37000008,NA,S12000008,NA,S02001484,NA,S01007918,NA,NA,NA,ayr_road,cumnock,256352,619976
15,a216h,girvan_community_hospital,ka26_9hq,"bridgemill,_girvan,_ayrshire",S08000015,S37000027,NA,S12000028,NA,S02002331,NA,S01012433,NA,NA,bridgemill,girvan,ayrshire,219127,598598
16,a217h,woodland_view,ka12_8ss,"ayrshire_central_hospital,_kilwinning_road,_irvine",S08000015,S37000020,NA,S12000021,NA,S02002105,NA,S01011213,NA,yes,ayrshire_central_hospital,kilwinning_road,irvine,231641,641194
17,b103h,the_knoll_hospital,td11_3el,"station_road,_duns",S08000016,S37000025,NA,S12000026,NA,S02002304,NA,S01012305,NA,yes,NA,station_road,duns,378679,653306
18,b104h,galavale_house,td1_3eb,"tweed_road,_galashiels",S08000016,S37000025,NA,S12000026,NA,S02002299,NA,S01012282,NA,yes,NA,tweed_road,galashiels,350378,635136
19,b105h,hawick_community_hospital,td9_7ah,"victoria_road,_hawick",S08000016,S37000025,NA,S12000026,NA,S02002319,NA,S01012372,NA,NA,NA,victoria_road,hawick,349809,614689
20,b108h,andrew_lang_unit,td7_4lh,"viewfield_house,_selkirk",S08000016,S37000025,NA,S12000026,NA,S02002321,NA,S01012384,NA,yes,NA,viewfield_house,selkirk,347045,628835
21,b114h,kelso_hospital,td5_7jp,"inch_road,_kelso",S08000016,S37000025,NA,S12000026,NA,S02002310,NA,S01012337,NA,yes,NA,inch_road,kelso,372790,634491
22,b118h,hay_lodge_hospital,eh45_8jg,"neidpath_road,_peebles",S08000016,S37000025,NA,S12000026,NA,S02002293,NA,S01012253,NA,yes,NA,neidpath_road,peebles,324699,640483
23,b120h,borders_general_hospital,td6_9bs,melrose,S08000016,S37000025,NA,S12000026,NA,S02002320,NA,S01012377,NA,NA,NA,melrose,NA,353342,633789
24,b121h,hawick_psychiatric_day_hospital,td9_7ah,"c/o_hawick_community_hospital,_victoria_road,_hawick",S08000016,S37000025,NA,S12000026,NA,S02002319,NA,S01012372,NA,yes,c/o_hawick_community_hospital,victoria_road,hawick,349980,614713
25,b122h,hawick_psychogeriatric_day_hospital,td9_0bg,"west_port,_drumlanrig_square,_hawick",S08000016,S37000025,NA,S12000026,NA,S02002318,NA,S01012370,NA,yes,west_port,drumlanrig_square,hawick,350068,614234
