date,country,sex,sex_qf,age_group,age_group_qf,total_positive,crude_rate_positive,first_infections,reinfections,percent_reinfections
2023-10-03,S92000003,female,NA,0_to_14,NA,164582,39269.49791104462,154663,9919,6.0267830017863435
2023-10-03,S92000003,female,NA,0_to_59,NA,1008520,49470.21079238571,911305,97215,9.639372545908856
2023-10-03,S92000003,female,NA,15_to_19,NA,79004,57285.390064750965,71328,7676,9.715963748670951
2023-10-03,S92000003,female,NA,20_to_24,NA,100807,59842.80481796109,88668,12139,12.04182249248564
2023-10-03,S92000003,female,NA,25_to_44,NA,407284,56343.101883618496,362678,44606,10.952062933972364
2023-10-03,S92000003,female,NA,45_to_64,NA,317844,41162.438323167175,291020,26824,8.439360189275241
2023-10-03,S92000003,female,NA,60+,NA,188413,24721.346406926747,178377,10036,5.32659636012377
2023-10-03,S92000003,female,NA,65_to_74,NA,67606,22106.17871717066,64711,2895,4.282164304943349
2023-10-03,S92000003,female,NA,75_to_84,NA,36523,19019.424048325785,34870,1653,4.5259151767379455
2023-10-03,S92000003,female,NA,85plus,NA,23283,28247.497725204736,21744,1539,6.609972941631233
2023-10-03,S92000003,male,NA,0_to_14,NA,167447,37997.326864557355,157289,10158,6.066397128643691
2023-10-03,S92000003,male,NA,0_to_59,NA,823943,40815.32265654799,767211,56732,6.88542775410435
2023-10-03,S92000003,male,NA,15_to_19,NA,65216,45223.87956201849,60683,4533,6.9507482826300295
2023-10-03,S92000003,male,NA,20_to_24,NA,79081,45631.90269010167,72129,6952,8.790986456923914
2023-10-03,S92000003,male,NA,25_to_44,NA,314607,44408.35581226948,291051,23556,7.4874367067484195
2023-10-03,S92000003,male,NA,45_to_64,NA,249577,34530.14748609535,235564,14013,5.614700072522709
2023-10-03,S92000003,male,NA,60+,NA,165030,25526.603165960816,157744,7286,4.414954856692723
2023-10-03,S92000003,male,NA,65_to_74,NA,65183,23243.20083868506,62688,2495,3.827685132626605
2023-10-03,S92000003,male,NA,75_to_84,NA,34360,22986.96780754101,32827,1533,4.461583236321304
2023-10-03,S92000003,male,NA,85plus,NA,13502,29425.09697947086,12724,778,5.762109317138202
2023-10-03,S92000003,total,d,total,d,2189008,40047.713135748265,2017739,171269,7.824046326007031
