Date,HB,HBName,DailyPositive,CumulativePositive,DailyPositivePCROnly,CumulativePositivePCROnly,DailyPositiveLFDOnly,CumulativePositiveLFDOnly,DailyPositivePCRAndLFD,CumulativePositivePCRAndLFD,DailyDeaths,DailyDeathsQF,CumulativeDeaths,CumulativeDeathsQF,CrudeRateDeaths,CrudeRateDeathsQF,PositiveTests,PositiveTestsLFDOnly,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2,FirstInfections,FirstInfectionsCumulative,Reinfections,ReinfectionsCumulative,PercentReinfections,PercentReinfectionsCumulative,TotalTests,TotalPillar1,TotalPillar2,TotalLFD,HospitalOccupancy,ICUOccupancy28daysless,ICUOccupancy28daysmore
20200228,S92000003,Scotland,1,1,,,,,,,0,,0,,0,,2,,,:,,:,2,0,1,1,0,0,0,0,164,164,0,,,,
20200228,S08000030,NHS Tayside,1,1,,,,,,,0,,0,,0,,2,,,:,,:,2,0,1,1,0,0,0,0,8,8,0,,,,
20200229,S92000003,Scotland,0,1,,,,,,,0,,0,,0,,0,,,:,,:,,,0,1,0,0,,0,90,90,0,,,,
20200229,S08000030,NHS Tayside,0,1,,,,,,,0,,0,,0,,0,,,:,,:,,,0,1,0,0,,0,1,1,0,,,,
20200301,S92000003,Scotland,2,3,,,,,,,0,,0,,0,,2,,1,,,:,2,0,2,3,0,0,0,0,92,92,0,,,,
20200301,S08000030,NHS Tayside,0,1,,,,,,,0,,0,,0,,0,,,:,,:,,,0,1,0,0,,0,3,3,0,,,,
20200301,S08000020,NHS Grampian,1,1,,,,,,,0,,0,,0,,1,,,:,,:,1,0,1,1,0,0,0,0,7,7,0,,,,
20200301,S08000019,NHS Forth Valley,1,1,,,,,,,0,,0,,0,,1,,,:,,:,1,0,1,1,0,0,0,0,6,6,0,,,,
20200302,S92000003,Scotland,1,4,,,,,,,0,,0,,0,,4,,0,,,:,4,0,1,4,0,0,0,0,264,264,0,,,,
20200302,S08000030,NHS Tayside,0,1,,,,,,,0,,0,,0,,3,,,:,,:,3,0,0,1,0,0,,0,19,19,0,,,,
20200302,S08000020,NHS Grampian,0,1,,,,,,,0,,0,,0,,0,,,:,,:,,,0,1,0,0,,0,18,18,0,,,,
20200302,S08000019,NHS Forth Valley,0,1,,,,,,,0,,0,,0,,0,,,:,,:,,,0,1,0,0,,0,21,21,0,,,,
20200302,S08000015,NHS Ayrshire and Arran,1,1,,,,,,,0,,0,,0,,1,,,:,,:,1,0,1,1,0,0,0,0,10,10,0,,,,
20200303,S92000003,Scotland,3,7,,,,,,,0,,0,,0,,6,,1,,,:,6,0,3,7,0,0,0,0,288,288,0,,,,
20200303,S08000030,NHS Tayside,0,1,,,,,,,0,,0,,0,,2,,,:,,:,2,0,0,1,0,0,,0,37,37,0,,,,
20200303,S08000031,NHS Greater Glasgow and Clyde,1,1,,,,,,,0,,0,,0,,2,,,:,,:,2,0,1,1,0,0,0,0,72,72,0,,,,
20200303,S08000020,NHS Grampian,1,2,,,,,,,0,,0,,0,,1,,,:,,:,1,0,1,2,0,0,0,0,15,15,0,,,,
20200303,S08000019,NHS Forth Valley,1,2,,,,,,,0,,0,,0,,1,,,:,,:,1,0,1,2,0,0,0,0,25,25,0,,,,
20200303,S08000015,NHS Ayrshire and Arran,0,1,,,,,,,0,,0,,0,,0,,,:,,:,,,0,1,0,0,,0,19,19,0,,,,
20200304,S92000003,Scotland,6,13,,,,,,,0,,0,,0,,10,,1,,,:,10,0,6,13,0,0,0,0,255,255,0,,,,
20200304,S08000030,NHS Tayside,0,1,,,,,,,0,,0,,0,,0,,,:,,:,,,0,1,0,0,,0,22,22,0,,,,
