Date,NumberAdmitted,SevenDayAverage,SevenDayAverageQF
20200301,1,,z
20200303,1,,z
20200304,1,,z
20200305,3,,z
20200306,4,,z
20200307,2,,z
20200308,1,1.85714285714286,
20200309,6,2.57142857142857,
20200310,9,3.71428571428571,
20200311,14,5.57142857142857,
20200312,7,6.14285714285714,
20200313,4,6.14285714285714,
20200314,9,7.14285714285714,
20200315,8,8.14285714285714,
20200316,10,8.71428571428571,
20200317,22,10.5714285714286,
20200318,18,11.1428571428571,
20200319,26,13.8571428571429,
20200320,47,20,
20200321,49,25.7142857142857,
20200322,37,29.8571428571429,
20200323,71,38.5714285714286,
20200324,72,45.7142857142857,
20200325,92,56.2857142857143,
20200326,108,68,
20200327,118,78.1428571428571,
20200328,140,91.1428571428571,
20200329,117,102.571428571429,
20200330,153,114.285714285714,
20200331,146,124.857142857143,
20200401,187,138.428571428571,
20200402,141,143.142857142857,
20200403,179,151.857142857143,
20200404,130,150.428571428571,
20200405,133,152.714285714286,
20200406,168,154.857142857143,
20200407,142,154.285714285714,
20200408,120,144.714285714286,
20200409,109,140.142857142857,
20200410,96,128.285714285714,
20200411,64,118.857142857143,
20200412,66,109.285714285714,
20200413,84,97.2857142857143,
20200414,83,88.8571428571429,
20200415,76,82.5714285714286,
20200416,77,78,
20200417,80,75.7142857142857,
20200418,60,75.1428571428571,
20200419,47,72.4285714285714,
20200420,55,68.2857142857143,
20200421,55,64.2857142857143,
20200422,50,60.5714285714286,
20200423,51,56.8571428571429,
20200424,68,55.1428571428571,
20200425,30,50.8571428571429,
20200426,30,48.4285714285714,
20200427,57,48.7142857142857,
20200428,51,48.1428571428571,
20200429,35,46,
20200430,35,43.7142857142857,
20200501,38,39.4285714285714,
20200502,34,40,
20200503,32,40.2857142857143,
20200504,39,37.7142857142857,
20200505,29,34.5714285714286,
20200506,36,34.7142857142857,
20200507,26,33.4285714285714,
20200508,25,31.5714285714286,
20200509,15,28.8571428571429,
20200510,24,27.7142857142857,
20200511,27,26,
20200512,27,25.7142857142857,
20200513,20,23.4285714285714,
20200514,20,22.5714285714286,
20200515,23,22.2857142857143,
20200516,14,22.1428571428571,
20200517,8,19.8571428571429,
20200518,22,19.1428571428571,
20200519,6,16.1428571428571,
20200520,12,15,
20200521,10,13.5714285714286,
20200522,13,12.1428571428571,
20200523,11,11.7142857142857,
20200524,6,11.4285714285714,
20200525,8,9.42857142857143,
20200526,8,9.71428571428571,
20200527,7,9,
20200528,4,8.14285714285714,
20200529,9,7.57142857142857,
20200530,2,6.28571428571429,
20200531,8,6.57142857142857,
20200601,3,5.85714285714286,
20200602,2,5,
20200603,4,4.57142857142857,
20200604,4,4.57142857142857,
20200605,8,4.42857142857143,
20200606,4,4.71428571428571,
20200607,4,4.14285714285714,
20200608,3,4.14285714285714,
20200609,4,4.42857142857143,
20200610,4,4.42857142857143,
20200611,4,4.42857142857143,
20200613,3,3.71428571428571,
20200614,4,3.71428571428571,
20200615,4,3.71428571428571,
20200616,4,3.85714285714286,
20200617,3,3.71428571428571,
20200619,3,3.57142857142857,
20200620,1,3.14285714285714,
20200622,4,3.28571428571429,
20200623,2,3,
20200624,1,2.57142857142857,
20200625,2,2.28571428571429,
20200627,1,2,
20200628,1,1.71428571428571,
20200629,1,1.71428571428571,
20200701,2,1.42857142857143,
20200703,1,1.28571428571429,
20200705,1,1.28571428571429,
20200706,2,1.28571428571429,
20200710,2,1.42857142857143,
20200711,2,1.57142857142857,
20200714,1,1.57142857142857,
20200716,1,1.42857142857143,
20200719,2,1.57142857142857,
20200725,3,1.85714285714286,
20200729,2,1.85714285714286,
20200801,1,1.71428571428571,
20200804,1,1.57142857142857,
20200805,1,1.57142857142857,
20200807,1,1.57142857142857,
20200810,3,1.71428571428571,
20200811,1,1.42857142857143,
20200813,1,1.28571428571429,
20200814,2,1.42857142857143,
20200815,3,1.71428571428571,
20200816,1,1.71428571428571,
20200817,2,1.85714285714286,
20200818,1,1.57142857142857,
20200819,2,1.71428571428571,
20200820,3,2,
20200821,2,2,
20200822,2,1.85714285714286,
20200824,2,2,
20200825,4,2.28571428571429,
20200826,3,2.57142857142857,
20200827,2,2.57142857142857,
20200828,3,2.57142857142857,
20200829,2,2.57142857142857,
20200830,2,2.57142857142857,
20200831,2,2.57142857142857,
20200901,1,2.14285714285714,
20200902,3,2.14285714285714,
20200903,1,2,
20200904,8,2.71428571428571,
20200905,3,2.85714285714286,
20200906,1,2.71428571428571,
20200907,7,3.42857142857143,
20200908,5,4,
20200909,3,4,
20200910,7,4.85714285714286,
20200911,6,4.57142857142857,
20200912,5,4.85714285714286,
20200913,4,5.28571428571429,
20200914,9,5.57142857142857,
20200915,6,5.71428571428571,
20200916,15,7.42857142857143,
20200917,8,7.57142857142857,
20200918,6,7.57142857142857,
20200919,8,8,
20200920,10,8.85714285714286,
20200921,9,8.85714285714286,
20200922,22,11.1428571428571,
20200923,13,10.8571428571429,
20200924,20,12.5714285714286,
20200925,17,14.1428571428571,
20200926,12,14.7142857142857,
20200927,20,16.1428571428571,
20200928,26,18.5714285714286,
20200929,17,17.8571428571429,
20200930,23,19.2857142857143,
20201001,31,20.8571428571429,
20201002,35,23.4285714285714,
20201003,28,25.7142857142857,
20201004,29,27,
20201005,46,29.8571428571429,
20201006,58,35.7142857142857,
20201007,50,39.5714285714286,
20201008,56,43.1428571428571,
20201009,42,44.1428571428571,
20201010,45,46.5714285714286,
20201011,54,50.1428571428571,
20201012,71,53.7142857142857,
20201013,84,57.4285714285714,
20201014,70,60.2857142857143,
20201015,75,63,
20201016,97,70.8571428571429,
20201017,68,74.1428571428571,
20201018,62,75.2857142857143,
20201019,94,78.5714285714286,
20201020,105,81.5714285714286,
20201021,92,84.7142857142857,
20201022,96,87.7142857142857,
20201023,93,87.1428571428571,
20201024,75,88.1428571428571,
20201025,89,92,
20201026,96,92.2857142857143,
20201027,96,91,
20201028,95,91.4285714285714,
20201029,68,87.4285714285714,
20201030,100,88.4285714285714,
20201031,77,88.7142857142857,
20201101,79,87.2857142857143,
20201102,69,83.4285714285714,
20201103,83,81.5714285714286,
20201104,75,78.7142857142857,
20201105,66,78.4285714285714,
20201106,63,73.1428571428571,
20201107,55,70,
20201108,63,67.7142857142857,
20201109,67,67.4285714285714,
20201110,61,64.2857142857143,
20201111,70,63.5714285714286,
20201112,72,64.4285714285714,
20201113,71,65.5714285714286,
20201114,72,68,
20201115,65,68.2857142857143,
20201116,65,68,
20201117,72,69.5714285714286,
20201118,63,68.5714285714286,
20201119,69,68.1428571428571,
20201120,74,68.5714285714286,
20201121,61,67,
20201122,48,64.5714285714286,
