Month,Ethnicity,NumberAdmitted,NumberAdmittedQF,PercentAdmitted,PercentAdmittedQF
20200301,African,,c,,c
20200301,"Asian, Asian Scottish or Asian British",13,,1,
20200301,Caribbean or Black,,c,,c
20200301,Mixed or Multiple Ethnic Groups,6,,0.46,
20200301,Other,,c,,c
20200301,Unknown,268,,20.68,
20200301,White,1003,,77.39,
20200401,African,6,,0.23,
20200401,"Asian, Asian Scottish or Asian British",56,,2.19,
20200401,Caribbean or Black,6,,0.23,
20200401,Mixed or Multiple Ethnic Groups,9,,0.35,
20200401,Other,10,,0.39,
20200401,Unknown,472,,18.44,
20200401,White,2000,,78.16,
20200501,African,,c,,c
20200501,"Asian, Asian Scottish or Asian British",10,,1.78,
20200501,Caribbean or Black,,c,,c
20200501,Mixed or Multiple Ethnic Groups,,c,,c
20200501,Other,,c,,c
20200501,Unknown,94,,16.7,
20200501,White,451,,80.11,
20200601,African,,c,,c
20200601,"Asian, Asian Scottish or Asian British",9,,11.54,
20200601,Caribbean or Black,,c,,c
20200601,Mixed or Multiple Ethnic Groups,,c,,c
20200601,Other,,c,,c
20200601,Unknown,12,,15.38,
20200601,White,55,,70.51,
20200701,African,,c,,c
20200701,"Asian, Asian Scottish or Asian British",,c,,c
20200701,Caribbean or Black,,c,,c
20200701,Mixed or Multiple Ethnic Groups,,c,,c
20200701,Other,,c,,c
20200701,Unknown,,c,,c
20200701,White,13,,68.42,
20200801,African,,c,,c
20200801,"Asian, Asian Scottish or Asian British",6,,12.77,
20200801,Caribbean or Black,,c,,c
20200801,Mixed or Multiple Ethnic Groups,,c,,c
20200801,Other,,c,,c
20200801,Unknown,,c,,c
20200801,White,35,,74.47,
20200901,African,,c,,c
20200901,"Asian, Asian Scottish or Asian British",14,,4.75,
20200901,Caribbean or Black,,c,,c
20200901,Mixed or Multiple Ethnic Groups,,c,,c
20200901,Other,5,,1.69,
20200901,Unknown,52,,17.63,
20200901,White,220,,74.58,
20201001,African,10,,0.46,
20201001,"Asian, Asian Scottish or Asian British",73,,3.35,
20201001,Caribbean or Black,,c,,c
20201001,Mixed or Multiple Ethnic Groups,8,,0.37,
20201001,Other,10,,0.46,
20201001,Unknown,218,,10.01,
20201001,White,1857,,85.3,
20201101,African,12,,0.63,
20201101,"Asian, Asian Scottish or Asian British",81,,4.24,
20201101,Caribbean or Black,7,,0.37,
20201101,Mixed or Multiple Ethnic Groups,12,,0.63,
20201101,Other,16,,0.84,
20201101,Unknown,239,,12.5,
20201101,White,1545,,80.81,
20201201,African,9,,0.48,
20201201,"Asian, Asian Scottish or Asian British",53,,2.85,
20201201,Caribbean or Black,,c,,c
20201201,Mixed or Multiple Ethnic Groups,12,,0.65,
20201201,Other,10,,0.54,
20201201,Unknown,257,,13.82,
20201201,White,1519,,81.67,
20210101,African,11,,0.29,
20210101,"Asian, Asian Scottish or Asian British",88,,2.31,
20210101,Caribbean or Black,,c,,c
20210101,Mixed or Multiple Ethnic Groups,18,,0.47,
20210101,Other,13,,0.34,
20210101,Unknown,501,,13.17,
20210101,White,3168,,83.3,
20210201,African,7,,0.39,
20210201,"Asian, Asian Scottish or Asian British",46,,2.55,
20210201,Caribbean or Black,,c,,c
20210201,Mixed or Multiple Ethnic Groups,7,,0.39,
20210201,Other,9,,0.5,
20210201,Unknown,277,,15.35,
20210201,White,1457,,80.72,
20210301,African,,c,,c
20210301,"Asian, Asian Scottish or Asian British",58,,7.34,
20210301,Caribbean or Black,,c,,c
20210301,Mixed or Multiple Ethnic Groups,5,,0.63,
20210301,Other,7,,0.89,
20210301,Unknown,108,,13.67,
20210301,White,606,,76.71,
20210401,African,,c,,c
20210401,"Asian, Asian Scottish or Asian British",34,,9.91,
20210401,Caribbean or Black,,c,,c
20210401,Mixed or Multiple Ethnic Groups,6,,1.75,
