Year,Country,Sex,SexQF,AllAges,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,Age18,Age19,Age20,Age21,Age22,Age23,Age24,Age25,Age26,Age27,Age28,Age29,Age30,Age31,Age32,Age33,Age34,Age35,Age36,Age37,Age38,Age39,Age40,Age41,Age42,Age43,Age44,Age45,Age46,Age47,Age48,Age49,Age50,Age51,Age52,Age53,Age54,Age55,Age56,Age57,Age58,Age59,Age60,Age61,Age62,Age63,Age64,Age65,Age66,Age67,Age68,Age69,Age70,Age71,Age72,Age73,Age74,Age75,Age76,Age77,Age78,Age79,Age80,Age81,Age82,Age83,Age84,Age85,Age86,Age87,Age88,Age89,Age90plus
2022,S92000003,All,d,5447000,47191,47629,49169,52048,51689,53326,56033,56663,57284,58589,60102,60726,60854,60603,60961,58963,58418,56010,59330,65869,66096,67645,71041,69314,67041,67824,66440,66037,68378,68664,71064,72762,70538,70749,72550,69800,70218,70574,68731,69199,69236,70238,68329,67124,61641,60807,64368,65017,66592,69712,73585,77221,76986,79622,80832,81023,80514,83155,82502,81296,78473,76071,74414,73192,71526,67918,65846,63035,61094,59577,56587,56361,55495,56517,57063,60064,44317,40802,40475,37823,33744,29159,28825,26741,24564,21731,19649,17421,14871,12759,44964
2022,S92000003,Female,,2800642,22796,23229,23962,25251,25175,25949,27117,27582,27869,28681,29148,29581,29980,29628,29949,28638,28468,27190,28853,32798,33266,34051,35726,35210,34064,34278,33721,33436,34882,35374,36633,37154,36278,36274,37193,35763,35966,36409,35287,35764,35726,36029,34906,33976,31982,31146,33080,33454,34019,35829,38295,40120,39782,40991,41757,41431,41579,42756,42694,41972,40220,39133,38173,37637,36946,34998,34027,32713,31642,30857,29411,29502,29130,29717,30161,31983,23626,22244,22065,21090,19019,16760,16693,15597,14397,12967,11944,10633,9279,8051,29930
2022,S92000003,Male,,2646358,24395,24400,25207,26797,26514,27377,28916,29081,29415,29908,30954,31145,30874,30975,31012,30325,29950,28820,30477,33071,32830,33594,35315,34104,32977,33546,32719,32601,33496,33290,34431,35608,34260,34475,35357,34037,34252,34165,33444,33435,33510,34209,33423,33148,29659,29661,31288,31563,32573,33883,35290,37101,37204,38631,39075,39592,38935,40399,39808,39324,38253,36938,36241,35555,34580,32920,31819,30322,29452,28720,27176,26859,26365,26800,26902,28081,20691,18558,18410,16733,14725,12399,12132,11144,10167,8764,7705,6788,5592,4708,15034
2023,S92000003,All,d,5496848,46213,48006,48536,49945,52721,52288,53941,56640,57239,57840,59138,60645,61263,61386,61161,61657,59820,59479,58227,63573,70179,68859,69965,74024,72216,69149,69699,68185,67593,69818,70077,72422,74000,71683,71836,73562,70727,71057,71352,69485,69875,69809,70772,68818,67532,62028,61165,64677,65279,66828,69933,73753,77337,77071,79647,80819,80978,80405,82967,82261,81010,78150,75704,73991,72687,70954,67287,65138,62272,60246,58610,55557,55211,54224,55068,55432,58139,42735,39167,38636,35887,31790,27275,26757,24603,22380,19584,17490,15284,12832,45188
2023,S92000003,Female,,2826339,22554,23205,23676,24337,25582,25479,26252,27409,27866,28132,28942,29411,29839,30241,29899,30285,29049,28981,28425,31383,35351,34809,35381,37527,36886,35164,35237,34653,34283,35668,36150,37377,37818,36871,36832,37714,36224,36379,36793,35656,36106,36037,36322,35161,34193,32188,31333,33242,33596,34153,35953,38381,40186,39841,41022,41779,41440,41552,42698,42614,41872,40106,39002,38008,37427,36709,34731,33721,32386,31285,30450,28976,29012,28583,29084,29434,31113,22909,21483,21208,20160,18065,15814,15639,14488,13251,11810,10746,9431,8092,29827
2023,S92000003,Male,,2670509,23659,24801,24860,25608,27139,26809,27689,29231,29373,29708,30196,31234,31424,31145,31262,31372,30771,30498,29802,32190,34828,34050,34584,36497,35330,33985,34462,33532,33310,34150,33927,35045,36182,34812,35004,35848,34503,34678,34559,33829,33769,33772,34450,33657,33339,29840,29832,31435,31683,32675,33980,35372,37151,37230,38625,39040,39538,38853,40269,39647,39138,38044,36702,35983,35260,34245,32556,31417,29886,28961,28160,26581,26199,25641,25984,25998,27026,19826,17684,17428,15727,13725,11461,11118,10115,9129,7774,6744,5853,4740,15361
2024,S92000003,All,d,5538939,46577,46969,48807,49195,50496,53210,52808,54464,57143,57730,58328,59624,61127,61741,61889,61798,62448,60807,61590,62286,67677,72692,70756,72339,76236,73716,70541,71032,69378,68705,70930,71162,73415,74921,72563,72664,74316,71405,71693,71969,70033,70333,70246,71166,69142,67829,62310,61414,64875,65459,67002,70057,73832,77372,77064,79600,80740,80827,80201,82696,81950,80653,77755,75267,73479,72112,70302,66575,64362,61429,59299,57577,54461,53987,52885,53553,53736,56149,41100,37479,36749,33901,29817,25397,24700,22499,20249,17513,15435,13272,45952
2024,S92000003,Female,,2848284,22731,22933,23602,23995,24607,25832,25735,26502,27656,28096,28362,29177,29641,30072,30483,30203,30660,29523,30158,30849,33818,36757,35899,36826,38800,37644,35866,35961,35324,34912,36304,36768,37928,38309,37334,37271,38100,36568,36703,37102,35942,36366,36287,36536,35340,34360,32337,31465,33354,33702,34255,36019,38428,40220,39855,41029,41770,41395,41485,42608,42502,41739,39964,38828,37794,37189,36430,34422,33388,32028,30884,30013,28510,28483,27996,28410,28673,30207,22162,20690,20317,19194,17089,14857,14572,13380,12114,10673,9583,8277,30152
2024,S92000003,Male,,2690655,23846,24036,25205,25200,25889,27378,27073,27962,29487,29634,29966,30447,31486,31669,31406,31595,31788,31284,31432,31437,33859,35935,34857,35513,37436,36072,34675,35071,34054,33793,34626,34394,35487,36612,35229,35393,36216,34837,34990,34867,34091,33967,33959,34630,33802,33469,29973,29949,31521,31757,32747,34038,35404,37152,37209,38571,38970,39432,38716,40088,39448,38914,37791,36439,35685,34923,33872,32153,30974,29401,28415,27564,25951,25504,24889,25143,25063,25942,18938,16789,16432,14707,12728,10540,10128,9119,8135,6840,5852,4995,15800
2025,S92000003,All,d,5573865,47026,47264,47680,49381,49667,50914,53663,53269,54910,57579,58164,58763,60057,61559,62194,62462,62511,63340,62739,65349,66078,69934,74290,72702,74085,77333,74777,71601,71985,70280,69630,71839,71995,74195,75669,73269,73308,74888,71945,72220,72429,70416,70698,70576,71427,69389,68049,62506,61572,65011,65591,67089,70103,73841,77323,76990,79493,80561,80587,79920,82355,81567,80223,77285,74732,72889,71442,69549,65775,63485,60468,58262,56447,53263,52667,51446,51934,51934,54037,39364,35695,34755,31836,27792,23471,22610,20381,18126,15477,13431,47082
2025,S92000003,Female,,2866711,22949,23077,23287,23880,24226,24821,26055,25955,26721,27859,28300,28572,29383,29851,30289,30756,30540,31088,30601,32408,33105,35079,37670,37084,37826,39337,38171,36449,36512,35849,35455,36836,37242,38352,38710,37714,37606,38396,36847,36971,37348,36167,36583,36472,36686,35483,34483,32443,31559,33439,33782,34303,36050,38450,40216,39850,41010,41711,41315,41390,42486,42359,41581,39778,38603,37550,36904,36101,34079,33018,31620,30443,29532,27994,27904,27356,27687,27858,29239,21364,19843,19367,18180,16075,13861,13474,12249,10963,9536,8429,30709
2025,S92000003,Male,,2707154,24077,24187,24393,25501,25441,26093,27608,27314,28189,29720,29864,30191,30674,31708,31905,31706,31971,32252,32138,32941,32973,34855,36620,35618,36259,37996,36606,35152,35473,34431,34175,35003,34753,35843,36959,35555,35702,36492,35098,35249,35081,34249,34115,34104,34741,33906,33566,30063,30013,31572,31809,32786,34053,35391,37107,37140,38483,38850,39272,38530,39869,39208,38642,37507,36129,35339,34538,33448,31696,30467,28848,27819,26915,25269,24763,24090,24247,24076,24798,18000,15852,15388,13656,11717,9610,9136,8132,7163,5941,5002,16373
2026,S92000003,All,d,5601570,47361,47644,47885,48171,49774,50010,51300,54063,53655,55290,57963,58550,59148,60439,61961,62704,63096,63308,65091,66251,68882,68073,71227,75797,73995,74808,78066,75562,72318,72675,71010,70366,72512,72626,74815,76253,73798,73779,75330,72383,72599,72734,70712,70962,70781,71616,69563,68184,62613,61672,65098,65638,67102,70084,73772,77211,76860,79289,80295,80273,79572,81943,81113,79717,76718,74120,72206,70672,68706,64876,62492,59418,57128,55214,51970,51246,49907,50213,50017,51796,37527,33806,32680,29715,25713,21513,20507,18269,16036,13489,48274
2026,S92000003,Female,,2881587,23113,23261,23387,23524,24072,24403,25012,26245,26145,26897,28039,28486,28755,29568,30043,30531,31054,30921,32068,32712,34520,34221,35811,38588,37819,38157,39692,38613,36881,36932,36295,35901,37232,37594,38692,39034,37997,37858,38632,37075,37180,37536,36352,36738,36596,36802,35583,34563,32511,31627,33499,33811,34319,36060,38437,40195,39819,40941,41618,41210,41264,42334,42192,41378,39541,38348,37260,36569,35737,33699,32597,31172,29959,29002,27430,27271,26669,26913,26986,28206,20510,18938,18368,17125,15018,12835,12354,11103,9810,8405,31417
2026,S92000003,Male,,2719983,24248,24383,24498,24647,25702,25607,26288,27818,27510,28393,29924,30064,30393,30871,31918,32173,32042,32387,33023,33539,34362,33852,35416,37209,36176,36651,38374,36949,35437,35743,34715,34465,35280,35032,36123,37219,35801,35921,36698,35308,35419,35198,34360,34224,34185,34814,33980,33621,30102,30045,31599,31827,32783,34024,35335,37016,37041,38348,38677,39063,38308,39609,38921,38339,37177,35772,34946,34103,32969,31177,29895,28246,27169,26212,24540,23975,23238,23300,23031,23590,17017,14868,14312,12590,10695,8678,8153,7166,6226,5084,16857
