Date,CA,CAName,NewPositive,AverageDailyPositive7Days,TotalCases,CrudeRatePositive,TotalPCROnly,AverageDailyPCROnly7Days,TotalLFDOnly,AverageDailyLFDOnly7Days,TotalLFDAndPCR,AverageDailyLFDAndPCR7Days,FirstInfections,AverageDailyFirstInfections7Days,Reinfections,AverageDailyReinfections7Days,PercentReinfections,AverageDailyPercentReinfections7Days
2023-10-03,S12000005,Clackmannanshire,7,1,22409,43690.77792942094,15472,0.2857142857142857,5179,0.7142857142857143,1758,,20537,0.7142857142857143,1872,0.2857142857142857,8.35378642509706,28.571428571428573
2023-10-03,S12000006,Dumfries and Galloway,45,6.428571428571429,50863,34299.6830534763,32453,3,14311,3.4285714285714284,4099,,47615,4.428571428571429,3248,2,6.385781412814817,31.11111111111111
2023-10-03,S12000008,East Ayrshire,31,4.428571428571429,54624,44921.05263157895,37242,2.2857142857142856,13588,2.142857142857143,3794,,49596,3.142857142857143,5028,1.2857142857142858,9.204745166959578,29.032258064516128
2023-10-03,S12000010,East Lothian,37,5.285714285714286,42488,39377.20111214087,27022,1.8571428571428572,12340,3.4285714285714284,3126,,39466,2.857142857142857,3022,2.4285714285714284,7.112596497834683,45.945945945945944
2023-10-03,S12000011,East Renfrewshire,20,2.857142857142857,42986,44749.115136373104,29642,1.4285714285714286,10919,1.4285714285714286,2425,,39554,1.5714285714285714,3432,1.2857142857142858,7.98399478900107,45
2023-10-03,S12000013,Na h-Eileanan Siar,7,1,9249,34901.88679245283,4169,0.8571428571428571,3627,0.14285714285714285,1453,,8774,0.5714285714285714,475,0.42857142857142855,5.135690344902152,42.857142857142854
2023-10-03,S12000014,Falkirk,20,2.857142857142857,69129,43054.93273542601,46293,1.1428571428571428,17475,1.7142857142857142,5361,,63608,2.142857142857143,5521,0.7142857142857143,7.986517959177769,25
2023-10-03,S12000017,Highland,64,9.142857142857142,79281,33674.97770037803,46404,3.7142857142857144,26390,5.428571428571429,6487,,74836,7.285714285714286,4445,1.8571428571428572,5.606639674070711,20.3125
2023-10-03,S12000018,Inverclyde,21,3,33239,43133.921619517256,23265,1.4285714285714286,7665,1.5714285714285714,2309,,30276,1.8571428571428572,2963,1.1428571428571428,8.914227263154729,38.095238095238095
2023-10-03,S12000019,Midlothian,16,2.2857142857142856,39088,41962.426194310254,25863,1.4285714285714286,10590,0.8571428571428571,2635,,36023,1.4285714285714286,3065,0.8571428571428571,7.841281211625051,37.5
